Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
11,Christian Braun,23,DEN,SG,79,77,2675,0.58,9.9,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352,1,0,,braunch01
200,Jaime Jaquez Jr.,23,MIA,SF,66,17,1368,0.461,9.9,0.742,0.288,0.398,0.039,0.017,0.258,0.513,0.677,0.435,0.222,0.25,0.311,0.443,0.892,0.032,12,0.513,0.262,2,0,,jaqueja01
314,Orlando Robinson,24,2TM,C,44,8,770,0.444,10,0.801,0.345,0.333,0.111,0.011,0.199,0.474,0.622,0.345,0.379,0.667,0.327,0.657,1,0.077,14,0.135,0.286,0,0,,robinor01
279,Gary Payton II,32,GSW,SG,62,11,927,0.574,10.1,0.681,0.326,0.346,0.01,0,0.319,0.69,0.845,0.553,0.333,,0.326,0.821,0.968,0.128,32,0.537,0.412,0,0,,paytoga02
320,Jabari Walker,22,POR,SF,60,1,749,0.515,10.1,0.686,0.415,0.236,0.022,0.013,0.314,0.573,0.684,0.407,0.4,0.333,0.389,0.622,1,0.07,16,0.458,0.455,1,0,,walkeja01
216,Jalen Johnson,23,ATL,SF,36,36,1284,0.5,10.2,0.74,0.352,0.279,0.09,0.018,0.26,0.566,0.749,0.437,0.245,0.6,0.312,0.626,0.955,0.127,63,0.298,0.333,2,0,,johnsja05
395,Jordan Miller,25,LAC,SF,37,0,420,0.433,10.2,0.716,0.313,0.343,0.06,0,0.284,0.521,0.619,0.457,0.375,,0.211,0.48,1,0.052,6,0.289,0.182,0,0,,millejo02
283,Trendon Watford,24,BRK,PF,44,6,913,0.469,10.2,0.749,0.3,0.369,0.077,0.003,0.251,0.515,0.667,0.465,0.185,0,0.33,0.363,0.966,0.02,6,0.273,0.292,1,0,,watfotr01
515,Nae'Qwan Tomlin,24,CLE,PF,5,1,63,0.406,10.2,0.688,0.469,0.125,0.094,0,0.313,0.5,0.6,0.25,0.333,,0.2,0.455,1,0.094,2,0,,0,0,,tomlina01
443,Pat Spencer,28,GSW,PG,39,0,250,0.406,10.3,0.782,0.139,0.525,0.099,0.02,0.218,0.456,0.286,0.491,0.5,0.5,0.227,0.556,1,0.04,3,0.136,0.333,0,0,,spencpa01
455,Alex Reese,25,2TM,PF,15,0,216,0.481,10.3,0.241,0.13,0.093,0,0.019,0.759,0.846,1,0.6,,1,0.366,0.636,1,0.037,2,0.366,0.2,1,0,,reeseal01
